key,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst
LWN,Gyumri Shirak Airport,Gyumri,Armenia,LWN,UDSG,40.7504005432,43.859298706100006,5000,4,E
ASA,Assab International Airport,Assab,Eritrea,ASA,HHSB,13.071800231933594,42.64500045776367,46,3,U
ASM,Asmara International Airport,Asmara,Eritrea,ASM,HHAS,15.291899681091309,38.910701751708984,7661,3,U
MSW,Massawa International Airport,Massawa,Eritrea,MSW,HHMS,15.670000076293945,39.37009811401367,194,3,U
GZA,Yasser Arafat International Airport,Gaza,Palestine,GZA,LVGZ,31.24640083313,34.276100158691,320,2,U
BUS,Batumi International Airport,Batumi,Georgia,BUS,UGSB,41.6102981567,41.5997009277,105,4,N
KUT,Kopitnari Airport,Kutaisi,Georgia,KUT,UGKO,42.176700592,42.4826011658,223,4,N
TBS,Tbilisi International Airport,Tbilisi,Georgia,TBS,UGTB,41.6692008972,44.95470047,1624,4,N
RIY,Mukalla International Airport,Mukalla,Yemen,RIY,OYRN,14.662599563598633,49.375,54,3,U
TAI,Ta'izz International Airport,Taiz,Yemen,TAI,OYTZ,13.6859998703,44.139099121099996,4838,3,U
HOD,Hodeidah International Airport,Hodeidah,Yemen,HOD,OYHD,14.753000259399414,42.97629928588867,41,3,U
ADE,Aden International Airport,Aden,Yemen,ADE,OYAA,12.829500198364258,45.02880096435547,7,3,U
AXK,Ataq Airport,Ataq,Yemen,AXK,OYAT,14.551300048828125,46.82619857788086,3735,3,U
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,AAY,OYGD,16.191699981689453,52.17499923706055,134,3,U
SAH,Sana'a International Airport,Sanaa,Yemen,SAH,OYSN,15.476300239562988,44.21969985961914,7216,3,U
BHN,Beihan Airport,Beihan,Yemen,BHN,OYBN,14.781999588012695,45.72010040283203,3800,3,U
SCT,Socotra International Airport,Socotra,Yemen,SCT,OYSQ,12.63070011138916,53.905799865722656,146,3,U
FMM,Memmingen Allgau Airport,Memmingen,Germany,FMM,EDJA,47.988800048799995,10.2395000458,2077,1,E
NAV,Nevşehir Kapadokya Airport,Nevsehir,Turkey,NAV,LTAZ,38.7719,34.5345,3100,3,E
EZE,Ministro Pistarini International Airport,Buenos Aires,Argentina,EZE,SAEZ,-34.8222,-58.5358,67,-3,N
EBL,Erbil International Airport,Erbil,Iraq,EBL,ORER,36.23759841918945,43.963199615478516,1341,3,U
EMD,Emerald Airport,Emerald,Australia,EMD,YEML,-23.5674991608,148.179000854,624,10,O
HEW,Athen Helenikon Airport,Athens,Greece,HEW,LGAT,37.893299,23.726101,69,2,E
KIX,Kansai International Airport,Osaka,Japan,KIX,RJBB,34.42729949951172,135.24400329589844,26,9,U
TAG,Tagbilaran Airport,Tagbilaran,Philippines,TAG,RPVT,9.664079666137695,123.85299682617188,38,8,N
JAV,Ilulissat Airport,Ilulissat,Greenland,JAV,BGJN,69.2432022095,-51.0570983887,95,-3,E
JCH,Qasigiannguit Heliport,Qasigiannguit,Greenland,JCH,BGCH,68.822815547,-51.1734473705,70,-3,E
JEG,Aasiaat Airport,Aasiaat,Greenland,JEG,BGAA,68.7218017578,-52.7846984863,74,-3,E
PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551700592,2.73881006241,27,1,E
DRW,Darwin International Airport,Darwin,Australia,DRW,YPDN,-12.41469955444336,130.8769989013672,103,9.5,N
URT,Surat Thani Airport,Surat Thani,Thailand,URT,VTSB,9.13259983063,99.135597229,20,7,U
TKA,Talkeetna Airport,Talkeetna,United States,TKA,PATK,62.320499420166,-150.09399414062,358,-9,A
GZM,Xewkija Heliport,Gozo,Malta,GZM,LMMG,36.027199,14.2728,0,1,E
HVN,Tweed New Haven Airport,New Haven,United States,HVN,KHVN,41.26369858,-72.88680267,12,-5,A
AVL,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.43619918823242,-82.54180145263672,2165,-5,A
GSO,Piedmont Triad International Airport,Greensboro,United States,GSO,KGSO,36.097801208496094,-79.93730163574219,925,-5,A
FSD,Joe Foss Field Airport,Sioux Falls,United States,FSD,KFSD,43.582000732400004,-96.741897583,1429,-6,A
AYQ,Ayers Rock Connellan Airport,Uluru,Australia,AYQ,YAYE,-25.1861,130.975998,1626,9.5,N
MHT,Manchester Airport,Manchester NH,United States,MHT,KMHT,42.93259811401367,-71.43569946289062,266,-5,A
APF,Naples Municipal Airport,Naples,United States,APF,KAPF,26.1525993347,-81.7752990723,8,-5,A
RDN,LTS Pulau Redang Airport,Redang,Malaysia,RDN,WMPR,5.765279769897461,103.00700378417969,36,8,N
SDF,Louisville International Standiford Field,Louisville,United States,SDF,KSDF,38.1744,-85.736,501,-5,A
CHO,Charlottesville Albemarle Airport,Charlottesville VA,United States,CHO,KCHO,38.13859939575195,-78.4529037475586,639,-5,A
ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA,United States,ROA,KROA,37.325500488299994,-79.975402832,1175,-5,A
LEX,Blue Grass Airport,Lexington KY,United States,LEX,KLEX,38.0364990234375,-84.60590362548828,979,-5,A
EVV,Evansville Regional Airport,Evansville,United States,EVV,KEVV,38.0369987488,-87.5324020386,418,-6,A
ABQ,Albuquerque International Sunport Airport,Albuquerque,United States,ABQ,KABQ,35.040199279785156,-106.60900115966797,5355,-7,A
BZN,Gallatin Field,Bozeman,United States,BZN,KBZN,45.77750015,-111.1529999,4473,-7,A
BIL,Billings Logan International Airport,Billings,United States,BIL,KBIL,45.807701110839844,-108.54299926757812,3652,-7,A
BTM,Bert Mooney Airport,Butte,United States,BTM,KBTM,45.95479965209961,-112.49700164794922,5550,-7,A
TVC,Cherry Capital Airport,Traverse City,United States,TVC,KTVC,44.74140167236328,-85.58219909667969,624,-5,A
FRS,Mundo Maya International Airport,Flores,Guatemala,FRS,MGTK,16.913799285899998,-89.86640167239999,427,-6,U
